case_id,building_type,method,routing_policy,run_id,seed,num_agents,operational_clearance_time_s,clearance_90_s,peak_density,congestion_duration_s,bottleneck_count,completed_pct
A,corridor benchmark,shortest_path,shortest_path,1,1111,58,216.2,178.44,145.56,130.5,136,34.5
A,corridor benchmark,shortest_path,shortest_path,2,1112,58,208.2,199.38,115.56,115.1,124,17.2
A,corridor benchmark,shortest_path,shortest_path,3,1113,58,230.0,195.56,126.48,124.8,127,24.1
A,corridor benchmark,shortest_path,shortest_path,4,1114,58,241.0,237.96,136.92,120.0,118,29.3
A,corridor benchmark,shortest_path,shortest_path,5,1115,58,242.0,213.62,171.76,132.5,125,34.5
A,corridor benchmark,shortest_path,shortest_path,6,1116,58,218.2,207.28,151.88,129.4,123,25.9
A,corridor benchmark,shortest_path,shortest_path,7,1117,58,190.8,85.24,113.96,126.3,124,22.4
A,corridor benchmark,shortest_path,shortest_path,8,1118,58,246.6,144.08,152.68,132.9,117,32.8
A,corridor benchmark,shortest_path,shortest_path,9,1119,58,242.0,187.9,185.24,129.5,129,27.6
A,corridor benchmark,shortest_path,shortest_path,10,1120,58,218.8,184.52,176.2,126.4,121,25.9
A,corridor benchmark,random_routing,stochastic,1,1121,58,155.2,155.0,64.32,85.9,126,19.0
A,corridor benchmark,random_routing,stochastic,2,1122,58,222.2,175.42,93.92,111.3,135,41.4
A,corridor benchmark,random_routing,stochastic,3,1123,58,183.4,173.4,63.76,92.0,132,25.9
A,corridor benchmark,random_routing,stochastic,4,1124,58,201.0,153.36,88.72,101.7,134,29.3
A,corridor benchmark,random_routing,stochastic,5,1125,58,191.4,117.72,118.76,99.1,140,25.9
A,corridor benchmark,random_routing,stochastic,6,1126,58,160.6,137.68,58.52,86.5,128,12.1
A,corridor benchmark,random_routing,stochastic,7,1127,58,170.6,136.06,73.04,92.9,135,24.1
A,corridor benchmark,random_routing,stochastic,8,1128,58,194.0,180.1,66.68,96.7,144,27.6
A,corridor benchmark,random_routing,stochastic,9,1129,58,208.0,171.06,85.6,102.6,134,31.0
A,corridor benchmark,random_routing,stochastic,10,1130,58,180.6,178.2,78.28,87.8,124,19.0
A,corridor benchmark,density_aware,least_crowded,1,1131,58,178.6,149.02,72.88,113.0,134,31.0
A,corridor benchmark,density_aware,least_crowded,2,1132,58,181.2,177.68,121.28,99.0,129,20.7
A,corridor benchmark,density_aware,least_crowded,3,1133,58,181.2,150.12,104.56,111.1,129,29.3
A,corridor benchmark,density_aware,least_crowded,4,1134,58,222.4,147.18,75.84,112.4,130,31.0
A,corridor benchmark,density_aware,least_crowded,5,1135,58,209.0,182.36,113.0,108.0,121,29.3
A,corridor benchmark,density_aware,least_crowded,6,1136,58,198.8,166.48,99.76,112.2,132,32.8
A,corridor benchmark,density_aware,least_crowded,7,1137,58,212.8,157.32,90.72,118.7,139,34.5
A,corridor benchmark,density_aware,least_crowded,8,1138,58,183.6,178.52,99.32,106.1,126,29.3
A,corridor benchmark,density_aware,least_crowded,9,1139,58,202.0,155.72,109.08,115.4,130,32.8
A,corridor benchmark,density_aware,least_crowded,10,1140,58,197.0,189.96,133.8,110.4,122,32.8
A,corridor benchmark,peopleflow_guided,guided,1,1141,58,267.4,228.92,156.96,132.2,117,32.8
A,corridor benchmark,peopleflow_guided,guided,2,1142,58,183.4,162.2,169.04,133.0,122,27.6
A,corridor benchmark,peopleflow_guided,guided,3,1143,58,186.4,163.0,146.8,127.5,115,25.9
A,corridor benchmark,peopleflow_guided,guided,4,1144,58,254.0,219.76,177.8,125.1,125,22.4
A,corridor benchmark,peopleflow_guided,guided,5,1145,58,261.2,247.2,163.16,139.5,122,39.7
A,corridor benchmark,peopleflow_guided,guided,6,1146,58,273.8,249.36,153.92,135.3,124,39.7
A,corridor benchmark,peopleflow_guided,guided,7,1147,58,290.2,255.52,183.2,143.3,117,39.7
A,corridor benchmark,peopleflow_guided,guided,8,1148,58,242.4,232.22,149.88,133.3,127,31.0
A,corridor benchmark,peopleflow_guided,guided,9,1149,58,272.2,250.36,175.04,135.6,116,41.4
A,corridor benchmark,peopleflow_guided,guided,10,1150,58,264.0,221.86,188.96,133.0,122,31.0
B,academic building,shortest_path,shortest_path,1,1211,64,467.0,251.3,163.84,297.5,119,93.8
B,academic building,shortest_path,shortest_path,2,1212,64,544.4,318.2,170.96,269.4,119,95.3
B,academic building,shortest_path,shortest_path,3,1213,64,597.4,279.8,140.88,296.9,112,95.3
B,academic building,shortest_path,shortest_path,4,1214,64,527.4,335.68,186.76,296.8,112,92.2
B,academic building,shortest_path,shortest_path,5,1215,64,515.2,240.12,118.32,298.2,117,93.8
B,academic building,shortest_path,shortest_path,6,1216,64,566.2,270.68,143.16,297.9,129,89.1
B,academic building,shortest_path,shortest_path,7,1217,64,580.8,281.8,163.36,288.8,97,95.3
B,academic building,shortest_path,shortest_path,8,1218,64,547.8,283.62,150.72,298.4,114,93.8
B,academic building,shortest_path,shortest_path,9,1219,64,536.2,202.6,120.12,264.5,105,95.3
B,academic building,shortest_path,shortest_path,10,1220,64,579.4,212.82,137.76,296.5,104,93.8
B,academic building,random_routing,stochastic,1,1221,64,163.6,152.56,74.88,95.1,136,53.1
B,academic building,random_routing,stochastic,2,1222,64,173.2,132.24,70.24,101.0,129,53.1
B,academic building,random_routing,stochastic,3,1223,64,200.8,166.64,82.4,103.6,131,60.9
B,academic building,random_routing,stochastic,4,1224,64,199.2,149.44,72.4,98.0,138,53.1
B,academic building,random_routing,stochastic,5,1225,64,216.6,181.94,78.4,108.7,137,65.6
B,academic building,random_routing,stochastic,6,1226,64,218.2,182.0,75.6,110.1,134,64.1
B,academic building,random_routing,stochastic,7,1227,64,188.0,164.08,90.8,93.3,150,57.8
B,academic building,random_routing,stochastic,8,1228,64,201.8,169.56,98.92,104.1,138,67.2
B,academic building,random_routing,stochastic,9,1229,64,154.0,137.82,62.64,92.6,134,50.0
B,academic building,random_routing,stochastic,10,1230,64,194.2,171.36,78.72,102.4,142,59.4
B,academic building,density_aware,least_crowded,1,1231,64,274.2,163.16,127.92,152.2,122,78.1
B,academic building,density_aware,least_crowded,2,1232,64,315.0,207.4,148.8,202.7,126,89.1
B,academic building,density_aware,least_crowded,3,1233,64,293.0,180.62,134.64,144.4,113,75.0
B,academic building,density_aware,least_crowded,4,1234,64,325.2,224.28,134.12,173.0,110,90.6
B,academic building,density_aware,least_crowded,5,1235,64,328.8,184.76,113.2,169.4,122,82.8
B,academic building,density_aware,least_crowded,6,1236,64,256.0,150.56,111.16,145.4,123,78.1
B,academic building,density_aware,least_crowded,7,1237,64,221.0,211.6,117.6,141.2,130,79.7
B,academic building,density_aware,least_crowded,8,1238,64,258.6,222.9,127.4,148.2,113,81.2
B,academic building,density_aware,least_crowded,9,1239,64,242.6,174.52,107.24,120.7,134,73.4
B,academic building,density_aware,least_crowded,10,1240,64,311.6,241.2,123.64,165.9,122,87.5
B,academic building,peopleflow_guided,guided,1,1241,64,232.6,221.1,122.48,117.3,162,31.2
B,academic building,peopleflow_guided,guided,2,1242,64,239.4,224.8,144.88,118.0,170,32.8
B,academic building,peopleflow_guided,guided,3,1243,64,253.6,212.58,93.6,136.6,174,46.9
B,academic building,peopleflow_guided,guided,4,1244,64,235.0,224.6,133.96,120.1,172,32.8
B,academic building,peopleflow_guided,guided,5,1245,64,230.6,203.76,120.12,121.9,164,39.1
B,academic building,peopleflow_guided,guided,6,1246,64,297.8,231.08,162.12,151.4,156,54.7
B,academic building,peopleflow_guided,guided,7,1247,64,237.2,202.7,149.4,134.6,166,40.6
B,academic building,peopleflow_guided,guided,8,1248,64,270.8,221.76,122.2,141.9,166,51.6
B,academic building,peopleflow_guided,guided,9,1249,64,238.2,203.04,97.24,117.8,185,34.4
B,academic building,peopleflow_guided,guided,10,1250,64,239.0,207.76,131.68,128.9,175,35.9
C,office floor,shortest_path,shortest_path,1,1311,70,215.8,87.2,136.0,297.2,74,92.9
C,office floor,shortest_path,shortest_path,2,1312,70,268.8,100.8,132.84,298.2,75,90.0
C,office floor,shortest_path,shortest_path,3,1313,70,244.0,108.42,119.84,297.8,91,91.4
C,office floor,shortest_path,shortest_path,4,1314,70,231.0,129.36,155.28,297.5,86,90.0
C,office floor,shortest_path,shortest_path,5,1315,70,526.8,62.84,118.52,298.6,78,92.9
C,office floor,shortest_path,shortest_path,6,1316,70,463.6,94.0,113.4,296.9,97,92.9
C,office floor,shortest_path,shortest_path,7,1317,70,382.4,104.5,124.28,298.6,86,94.3
C,office floor,shortest_path,shortest_path,8,1318,70,350.2,79.0,124.92,298.2,74,92.9
C,office floor,shortest_path,shortest_path,9,1319,70,404.4,100.32,123.16,297.9,99,92.9
C,office floor,shortest_path,shortest_path,10,1320,70,271.6,89.6,129.2,297.8,79,92.9
C,office floor,random_routing,stochastic,1,1321,70,188.2,107.72,23.84,92.2,114,95.7
C,office floor,random_routing,stochastic,2,1322,70,153.2,114.68,21.6,74.4,118,95.7
C,office floor,random_routing,stochastic,3,1323,70,201.4,119.56,24.28,98.9,104,95.7
C,office floor,random_routing,stochastic,4,1324,70,137.4,93.84,25.72,66.6,107,95.7
C,office floor,random_routing,stochastic,5,1325,70,126.6,95.16,20.6,61.4,106,95.7
C,office floor,random_routing,stochastic,6,1326,70,143.0,92.44,18.4,69.1,103,95.7
C,office floor,random_routing,stochastic,7,1327,70,122.8,100.08,17.12,58.9,108,95.7
C,office floor,random_routing,stochastic,8,1328,70,143.4,94.4,16.52,70.0,117,95.7
C,office floor,random_routing,stochastic,9,1329,70,200.0,120.68,26.44,97.3,120,95.7
C,office floor,random_routing,stochastic,10,1330,70,240.8,145.02,33.72,127.0,131,91.4
C,office floor,density_aware,least_crowded,1,1331,70,189.8,99.28,44.28,92.4,86,95.7
C,office floor,density_aware,least_crowded,2,1332,70,90.6,54.4,17.76,43.5,54,95.7
C,office floor,density_aware,least_crowded,3,1333,70,164.8,60.4,38.84,80.6,68,95.7
C,office floor,density_aware,least_crowded,4,1334,70,398.4,109.16,77.8,197.3,86,95.7
C,office floor,density_aware,least_crowded,5,1335,70,203.0,75.6,37.24,100.0,91,95.7
C,office floor,density_aware,least_crowded,6,1336,70,296.2,92.12,58.12,146.0,76,95.7
C,office floor,density_aware,least_crowded,7,1337,70,181.6,81.32,27.48,88.6,80,95.7
C,office floor,density_aware,least_crowded,8,1338,70,133.4,69.84,23.56,65.7,76,95.7
C,office floor,density_aware,least_crowded,9,1339,70,471.6,79.7,98.72,246.0,75,94.3
C,office floor,density_aware,least_crowded,10,1340,70,121.4,52.36,23.56,58.3,73,95.7
C,office floor,peopleflow_guided,guided,1,1341,70,467.4,277.8,424.36,299.0,132,87.1
C,office floor,peopleflow_guided,guided,2,1342,70,338.0,217.56,329.0,297.2,124,90.0
C,office floor,peopleflow_guided,guided,3,1343,70,547.0,249.84,418.4,296.5,130,84.3
C,office floor,peopleflow_guided,guided,4,1344,70,448.8,237.28,276.32,297.3,127,90.0
C,office floor,peopleflow_guided,guided,5,1345,70,557.0,212.8,326.56,297.9,131,88.6
C,office floor,peopleflow_guided,guided,6,1346,70,341.4,160.4,298.04,298.3,124,87.1
C,office floor,peopleflow_guided,guided,7,1347,70,554.2,259.58,331.12,297.6,125,88.6
C,office floor,peopleflow_guided,guided,8,1348,70,582.0,155.8,355.04,297.5,127,90.0
C,office floor,peopleflow_guided,guided,9,1349,70,516.6,199.74,265.36,297.2,120,91.4
C,office floor,peopleflow_guided,guided,10,1350,70,484.0,240.54,307.68,297.9,123,88.6
D,apartment layout,shortest_path,shortest_path,1,1411,74,432.4,169.9,236.64,297.9,82,91.9
D,apartment layout,shortest_path,shortest_path,2,1412,74,380.4,239.64,239.4,269.7,96,91.9
D,apartment layout,shortest_path,shortest_path,3,1413,74,560.0,203.2,200.12,278.8,81,95.9
D,apartment layout,shortest_path,shortest_path,4,1414,74,437.0,268.24,232.64,264.0,95,91.9
D,apartment layout,shortest_path,shortest_path,5,1415,74,367.8,232.28,206.68,298.6,92,93.2
D,apartment layout,shortest_path,shortest_path,6,1416,74,379.0,244.28,225.32,209.8,109,87.8
D,apartment layout,shortest_path,shortest_path,7,1417,74,381.0,172.8,133.12,187.6,82,95.9
D,apartment layout,shortest_path,shortest_path,8,1418,74,590.6,197.0,234.92,294.4,78,90.5
D,apartment layout,shortest_path,shortest_path,9,1419,74,593.4,210.52,216.4,297.8,90,93.2
D,apartment layout,shortest_path,shortest_path,10,1420,74,518.2,175.6,151.24,256.0,85,95.9
D,apartment layout,random_routing,stochastic,1,1421,74,233.8,156.4,101.24,115.8,101,82.4
D,apartment layout,random_routing,stochastic,2,1422,74,334.6,133.8,95.56,184.1,100,90.5
D,apartment layout,random_routing,stochastic,3,1423,74,298.4,160.48,125.2,154.1,86,87.8
D,apartment layout,random_routing,stochastic,4,1424,74,243.2,149.0,99.08,137.8,88,85.1
D,apartment layout,random_routing,stochastic,5,1425,74,236.8,158.9,97.4,128.7,100,86.5
D,apartment layout,random_routing,stochastic,6,1426,74,201.4,133.76,107.36,103.3,104,77.0
D,apartment layout,random_routing,stochastic,7,1427,74,254.8,157.04,115.2,136.9,96,87.8
D,apartment layout,random_routing,stochastic,8,1428,74,256.6,130.46,102.08,141.8,87,86.5
D,apartment layout,random_routing,stochastic,9,1429,74,200.2,105.88,102.2,109.3,96,74.3
D,apartment layout,random_routing,stochastic,10,1430,74,258.4,136.96,112.76,133.9,100,86.5
D,apartment layout,density_aware,least_crowded,1,1431,74,236.8,132.6,169.16,121.0,86,81.1
D,apartment layout,density_aware,least_crowded,2,1432,74,305.4,130.8,140.24,155.9,79,85.1
D,apartment layout,density_aware,least_crowded,3,1433,74,216.0,136.78,127.0,119.6,79,83.8
D,apartment layout,density_aware,least_crowded,4,1434,74,320.0,169.4,159.44,208.3,73,93.2
D,apartment layout,density_aware,least_crowded,5,1435,74,225.6,139.6,129.88,132.6,91,82.4
D,apartment layout,density_aware,least_crowded,6,1436,74,372.6,164.28,159.2,200.6,87,94.6
D,apartment layout,density_aware,least_crowded,7,1437,74,319.0,92.32,182.24,163.1,83,86.5
D,apartment layout,density_aware,least_crowded,8,1438,74,322.2,164.76,147.72,191.8,75,93.2
D,apartment layout,density_aware,least_crowded,9,1439,74,354.8,165.16,130.28,186.2,98,93.2
D,apartment layout,density_aware,least_crowded,10,1440,74,256.0,95.6,165.88,137.3,72,83.8
D,apartment layout,peopleflow_guided,guided,1,1441,74,140.6,102.6,101.64,75.9,99,21.6
D,apartment layout,peopleflow_guided,guided,2,1442,74,143.4,116.6,101.24,71.0,108,14.9
D,apartment layout,peopleflow_guided,guided,3,1443,74,98.2,94.08,107.72,78.9,110,24.3
D,apartment layout,peopleflow_guided,guided,4,1444,74,136.4,88.68,100.16,72.7,105,16.2
D,apartment layout,peopleflow_guided,guided,5,1445,74,144.0,132.96,112.88,72.5,102,17.6
D,apartment layout,peopleflow_guided,guided,6,1446,74,154.0,127.98,103.12,78.6,107,24.3
